Year,Province,TotalSpendingMillions,TotalBeneficiaries,SpendingUnder65Millions,BeneficiariesUnder65,SpendingOver65Millions,BeneficiariesOver65
2020,Newfoundland and Labrador,156.8190817,100344,73.37633789,43766,83.44274379,56578
2020,Prince Edward Island,39.15711582,49314,17.94422385,19741,21.21289197,29573
2020,Nova Scotia,308.3504119,187032,110.9649146,53784,197.3854973,133248
2020,New Brunswick,283.2175566,123583,128.0237235,41176,155.1938331,82407
2020,Quebec,4347.314159,3007681,1530.943564,1496985,2816.370595,1510696
2020,Ontario,6893.574984,4127594,2329.352175,1657177,4564.22281,2470417
2020,Manitoba,382.3376531,804123,234.2780611,597580,148.0595921,206543
2020,Saskatchewan,438.9828938,757493,271.0027614,573398,167.9801324,184095
2020,Alberta,986.3567069,640430,301.586572,86784,684.7701349,553646
2020,British Columbia,1207.033694,2887553,750.3795114,2032981,456.6541825,854572
2020,Yukon,11.84933543,8106,5.25565496,3682,6.59368047,4424
2021,Newfoundland and Labrador,167.7145418,96588,80.15046195,39826,87.56407982,56762
2021,Prince Edward Island,40.55524708,51396,17.78018136,20684,22.77506572,30712
2021,Nova Scotia,313.2648945,188258,109.9464626,51086,203.3184319,137172
2021,New Brunswick,294.5751992,121602,131.803109,38570,162.7720902,83032
2021,Quebec,4724.97752,4054915,1636.599979,2447401,3088.377541,1607514
2021,Ontario,7477.676383,4646500,2493.178126,2049891,4984.498257,2596609
2021,Manitoba,413.5135075,797113,252.4556384,584978,161.0578691,212135
2021,Saskatchewan,484.4616529,825088,298.227251,632226,186.2344019,192862
2021,Alberta,992.8145453,642497,279.7669494,63518,713.0475959,578979
2021,British Columbia,1246.563625,2921180,767.7753143,2033633,478.7883107,887547
2021,Yukon,12.3130212,10832,5.17323064,5852,7.13979056,4980
2022,Newfoundland and Labrador,173.7795444,96622,85.44413879,38655,88.33540563,57967
2022,Prince Edward Island,43.13348367,52273,18.87841971,20449,24.25506396,31824
2022,Nova Scotia,333.1339782,192956,111.0700488,51572,222.0639294,141384
2022,New Brunswick,316.0708134,125783,143.8806953,41590,172.1901181,84193
2022,Quebec,4912.60886,5505549,1664.938091,3751686,3247.670769,1753863
2022,Ontario,8009.87783,4739066,2653.509636,2042191,5356.368194,2696875
2022,Manitoba,453.299212,851130,273.5106413,631157,179.7885707,219973
2022,Saskatchewan,533.8642779,805178,334.7234746,607829,199.1408033,197349
2022,Alberta,1098.483126,672758,311.6337132,62343,786.8494128,610415
2022,British Columbia,1324.106782,3269040,819.7039135,2295528,504.4028681,973512
2022,Yukon,12.67155625,10862,5.21310875,5650,7.4584475,5212
2023,Newfoundland and Labrador,186.5983434,98645,91.56536555,38636,95.03297787,60009
2023,Prince Edward Island,51.29661363,54904,21.81740456,21771,29.47920907,33133
2023,Nova Scotia,365.6648567,196648,118.9292682,52073,246.7355886,144575
2023,New Brunswick,341.4514241,126830,156.1694696,41875,185.2819546,84955
2023,Quebec,5133.171848,4075366,1655.757022,2358923,3477.414826,1716443
2023,Ontario,8582.461448,4639735,2847.373541,1877968,5735.087907,2761767
2023,Manitoba,489.9419079,874403,291.2337933,648411,198.7081146,225992
2023,Saskatchewan,541.7600731,791848,336.9254298,590973,204.8346434,200875
2023,Alberta,1208.980444,704162,350.8224368,61435,858.1580073,642727
2023,British Columbia,1449.75146,3192234,920.0120841,2236141,529.7393759,956093
2023,Yukon,13.79892818,11328,5.6256048,5848,8.17332338,5480
2024,Newfoundland and Labrador,198.1480994,100837,96.26188359,38713,101.8862158,62124
2024,Prince Edward Island,61.27918203,56864,24.93300202,22666,36.34618001,34198
2024,Nova Scotia,413.162641,202128,132.2262933,53683,280.9363477,148445
2024,New Brunswick,376.335085,130458,170.8008023,44046,205.5342827,86412
2024,Quebec,5576.487434,3968828,1745.980511,2214577,3830.506923,1754251
2024,Ontario,9300.016657,4760032,2967.221688,1916544,6332.794969,2843488
2024,Manitoba,555.6369508,900749,327.4678658,667139,228.169085,233610
2024,Saskatchewan,584.3583927,808270,364.9281737,602205,219.430219,206065
2024,Alberta,1372.915918,739117,412.4142373,62949,960.5016809,676168
2024,British Columbia,1612.842472,3305691,1021.891495,2315170,590.9509769,990521
2024,Yukon,15.82270075,13495,6.55645188,7610,9.26624887,5885
